"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"7917251",0.0227272409815969,2.78519179435463,1.26319663427872,0.207454243141403,0.325101168310302,-6.43722936412193
"8045664",0.0233558934899884,4.07211786530032,1.26318444031351,0.207458618622017,0.325101168310302,-6.4372446591313
"7895396",0.0573819966737288,2.7649879281246,1.26312338383793,0.207480528128661,0.325115590822377,-6.43732124066542
"8083455",-0.0336161950485209,2.45975166125879,-1.26310437289189,0.207487350361159,0.325115590822377,-6.43734508484778
"7905731",-0.0426864583317963,4.78886935647923,-1.26306077058614,0.207502998020541,0.325124809424967,-6.43739977101763
"7893559",-0.0211838520164503,12.4410205722364,-1.2630125484527,0.207520304609758,0.32513662632181,-6.43746024921597
"7982812",0.0271244161220503,5.0188043646869,1.26288129097663,0.207567417336956,0.325195139277684,-6.43762485531711
"8002919",0.0285335877304333,8.5415562278147,1.26274993640243,0.20761457272007,0.325253713553222,-6.43778956623345
"7934091",0.0341725770260882,2.16456841854633,1.26269380058408,0.207634727471627,0.32526998450354,-6.4378599520781
"8027556",0.0264139580575774,5.95650218225879,1.26220713516282,0.207809517406946,0.325528486126227,-6.43847002724889
"8098740",0.0247526510564559,5.25264659991374,1.26211249048149,0.207843522282064,0.325566437475933,-6.43858864510974
"8108566",0.0172184771773014,2.39533931558466,1.26200191868602,0.20788325474341,0.325613356533603,-6.43872721321745
"8064485",-0.0340890183528996,3.68670497669649,-1.26192316503186,0.207911557165771,0.325642368829611,-6.43882589963692
"7996160",0.0286735925159104,3.81157793192652,1.2618608633837,0.207933949069051,0.325662121455889,-6.43890396568375
"8131871",0.0333352811814139,5.46017337029712,1.2618295414581,0.207945207180227,0.325664435514794,-6.43894321166193
"7916851",0.0244631309661847,3.3718342547476,1.26159228996069,0.208030497450617,0.325782686182542,-6.43924045348316
"8106727",-0.0358383363011379,3.85471976642173,-1.26137679276076,0.208107989288271,0.325884095868721,-6.43951039236491
"7956003",0.0231353209499832,3.37391901561022,1.26133576175465,0.208122746239077,0.325884095868721,-6.43956178397996
"8093386",0.033390875599452,4.47054382638339,1.26132724038369,0.208125811076782,0.325884095868721,-6.43957245684767
"7980219",0.0293747946588981,5.23636123001917,1.26130335501323,0.208134401980486,0.325884095868721,-6.439602372475
"8143562",0.0168088030497257,2.4126743849361,1.26022222854273,0.208523523639137,0.326463130542412,-6.44095586006445
"7893676",-0.023273983540213,10.7932156930671,-1.26022138686945,0.208523826782474,0.326463130542412,-6.44095691332743
"8109677",-0.0206450250229729,2.88783910988179,-1.26013472156009,0.208555042525782,0.326496650100191,-6.44106536184857
"7898602",-0.0322778570507646,5.27481925254952,-1.2599939106114,0.208605768096584,0.326560708054158,-6.44124154970163
"7897964",0.0205600750928049,2.44378287719808,1.25978791360571,0.20867999240105,0.326661544214082,-6.44149926564135
"8073334",0.0262135853456299,9.45672036799361,1.25973326477673,0.208699686551923,0.326677015001851,-6.44156762795635
"8040077",0.0363863960483133,3.52722431466773,1.2594444702376,0.208803783775738,0.326824594010284,-6.4419288433675
"8136535",0.0346998613276838,6.38276031271246,1.25924823617246,0.208874538749652,0.326919973523886,-6.44217424017815
"8133145",-0.0270371519326192,7.24573451547923,-1.25922070161532,0.208884468120842,0.326920147356976,-6.44220866997119
"8011430",-0.0217988581829512,4.43279753292332,-1.25903310889403,0.208952125994876,0.327007837318388,-6.44244322004576
"8140498",0.0195273029321619,2.35743110723642,1.25901089390407,0.208960139190418,0.327007837318388,-6.44247099349975
"7958620",-0.039172130308159,5.08852547924281,-1.2584335552426,0.209168470169609,0.327318476888686,-6.44319261927365
"8126358",-0.0249940317297689,3.24329997181789,-1.25829541319528,0.209218340732575,0.327381131226681,-6.44336523687573
"8171834",0.0336785837040542,9.35745369440256,1.25782213356042,0.209389264692084,0.327633192972383,-6.44395648877544
"7895575",0.0685913722581421,3.35938734815655,1.25778925849608,0.209401141226766,0.327636379842471,-6.44399755027913
"8095624",0.0216981043085327,2.34084895554952,1.25775753453919,0.209412602374012,0.327638916513836,-6.44403717302316
"7967702",0.0374730234926883,3.21638907882748,1.25766099335863,0.209447483324689,0.327669071716793,-6.44415774541626
"7894129",0.0640165719633183,4.86755621138019,1.25764971686378,0.209451557870686,0.327669071716793,-6.44417182827986
"7895434",-0.0566515056579009,5.93952411421406,-1.25728299451919,0.209584097424787,0.3278610144211,-6.44462974827357
"7967810",-0.0280742119845882,6.52697534747604,-1.25724740858224,0.209596962021548,0.327865735433219,-6.4446741767948
"7893814",0.105700428694998,5.61739154419808,1.25712013437008,0.209642977354639,0.327913275238416,-6.4448330665971
"7892744",-0.0957255707545283,6.41911624825559,-1.25710887249267,0.209647049382088,0.327913275238416,-6.44484712521781
"8000779",-0.025959829413011,4.44996086361022,-1.25706050277914,0.209664539376267,0.327925227470128,-6.4449075055137
"8156360",-0.0213675213408109,2.75900811530032,-1.25687014996135,0.209733379319267,0.328017488548316,-6.44514510210584
"7993165",-0.0709512501015702,6.15352053952077,-1.25672128323765,0.209787227524775,0.328086295377973,-6.44533089132556
"7894586",0.0649045661167747,2.9054238397508,1.25660279936376,0.209830092805738,0.328137920352839,-6.44547874645462
